month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202111,rhode island,ri,411450,-0.0201,0.0288,1377,-0.1285,-0.19,40,0.142857143,0.025641026,1104,-0.1585,-0.035,12,-0.5,0,348,-0.1714,0.0116,2480,-0.0252,-0.1159,275.0980645,0.0065,0.0961,1535.5,-0.0157,-0.0583,699347.621,0.0096,-0.0959,3857,-0.0647,-0.1438,1.801016703,0.1909,0.151,0
202111,oregon,or,517000,0.0039,0.066,6928,-0.1547,0.0158,45.5,0.109756098,-0.141509434,4292,-0.262,0.1142,2056,-0.1107,4.4105,3072,-0.2242,0.8686,9976,-0.0623,-0.0663,285.5425039,0.0089,0.1482,1849,-0.0059,-0.0787,711230.8367,0.0098,0.0713,16904,-0.1025,-0.0343,1.439953811,0.1419,-0.1266,0
202111,north carolina,nc,365214,0.0018,0.0451,15019,-0.0567,-0.2994,42.5,-0.011627907,-0.247787611,10764,-0.0647,0.0882,768,-0.0154,-0.411,3752,-0.1504,-0.199,22325,-0.0152,-0.0459,185.0713899,-0.0002,0.1424,1990.5,0.0023,-0.0844,526869.1261,0.0278,0.0707,37344,-0.0323,-0.1671,1.486450496,0.0625,0.3949,0
202111,new mexico,nm,302450,-0.0244,0.0612,3739,-0.0834,-0.2379,59.5,0.043859649,-0.048,1436,-0.169,-0.0934,164,0.7083,1.1579,660,-0.1791,-0.2396,3497,-0.0727,-0.0283,156.25,-0.0092,0.0989,1959,-0.0171,-0.0242,491092.9872,-0.0036,0.0878,7236,-0.0782,-0.1492,0.935276812,0.0108,0.2017,0
202111,maine,me,339500,0.0137,0.1508,2723,-0.1525,-0.3457,62,0.127272727,-0.046153846,1128,-0.244,-0.173,48,0.2,0,484,-0.4265,-0.3202,1100,-0.1791,-0.1977,201.9204989,-0.0005,0.1464,1670,0.0024,-0.0176,519009.2873,0.0393,0.1552,3823,-0.1603,-0.3091,0.403966214,-0.0131,0.0746,0
202111,arkansas,ar,231999.5,0.0109,0.1606,5751,-0.0588,-0.2007,52.5,0.05,-0.186046512,2504,-0.1506,0.0245,80,0.1111,-0.3548,1160,-0.142,-0.0645,5695,-0.0441,0.3566,120.9175148,0.0024,0.1703,1873.5,-0.0029,-0.0512,346955.327,0.0173,0.1804,11446,-0.0515,0.0047,0.990262563,0.0151,0.4068,0
202111,hawaii,hi,764000,0.0495,0.1755,2575,-0.3977,-0.4738,50.5,0.097826087,-0.41954023,1504,0.0053,0.0245,52,-0.35,0,384,-0.0943,-0.4483,2756,1.5471,-0.0397,650.7240854,0.1041,0.0787,1189.5,-0.0046,0.0466,1616521.777,0.2706,0.1571,5331,-0.0049,-0.3134,1.070291262,0.8172,0.4839,0
202110,indiana,in,229900,-0.0112,0.0356,9050,0.0029,-0.1304,38,0.055555556,-0.11627907,6316,-0.0804,0.0089,160,-0.1667,-0.375,3584,-0.081,-0.0725,7690,-0.0289,-0.0851,121.9328993,-0.0004,0.1226,1868,-0.0053,-0.045,310950.7742,-0.0157,0.0438,16740,-0.012,-0.1101,0.849723757,-0.0278,0.0421,0
202110,louisiana,la,274000,-0.0033,0.0851,7400,-0.0724,-0.3373,68,0.133333333,-0.128205128,3160,0.3015,-0.0459,172,0.5926,-0.411,1880,0.1605,-0.2668,8258,-0.0276,0.0798,138.9584965,-0.0054,0.1051,1910,-0.0057,-0.0363,385237.8079,0.0014,0.0998,15658,-0.0493,-0.1678,1.115945946,0.0515,0.4311,0
202110,connecticut,ct,449800,-0.0003,0.1837,7223,-0.0504,-0.5431,51,0.051546392,0.133333333,3980,-0.0946,-0.2993,136,0.36,-0.4688,1892,-0.1126,-0.2644,9038,-0.0512,51.5465,232.8869048,-0.0087,0.2546,1908,0,-0.072,1052457.126,0.0148,0.311,16261,-0.0508,0.0175,1.251280631,-0.0012,1.2404,0
202110,wisconsin,wi,275000,0,0.0185,10798,-0.0403,-0.0255,46,0.069767442,-0.098039216,5848,-0.1261,0.0556,96,-0.2258,-0.2,3376,-0.0354,0.1164,8818,-0.0401,-0.1932,155.3522099,0.0006,0.0706,1724,-0.0126,-0.0422,365626.6767,0.0048,-0.0031,19616,-0.0402,-0.1087,0.81663271,0.0002,-0.1697,0
202110,utah,ut,575000,0.0052,0.1167,5309,-0.0584,-0.0338,32,0.163636364,-0.288888889,4188,-0.1216,0.0963,240,0.1765,-0.4915,1852,-0.1597,0.4984,9286,-0.0153,-0.0858,241.0237389,0.001,0.181,2444,0.008,-0.0224,1072084.211,0.013,0.0795,14595,-0.0314,-0.0676,1.749105293,0.0765,-0.0995,0
202110,texas,tx,349999,0,0.1184,51459,-0.0263,-0.2218,44,0.086419753,-0.169811321,30912,-0.0381,0.0283,2616,-0.0657,-0.4717,15704,-0.1345,-0.1498,51402,-0.0356,-0.0842,167.90625,0.0021,0.1569,2072,-0.0046,-0.0443,500312.6309,0.0039,0.0742,102861,-0.031,-0.1586,0.998892322,-0.0096,0.1501,0
202110,michigan,mi,240000,-0.0341,-0.0396,18582,-0.037,-0.1358,42,0.12,-0.142857143,11724,-0.0777,0.0284,316,0.0533,-0.5,6304,-0.0384,0.0514,13516,-0.0468,-0.1193,151.2109375,-0.009,0.0667,1589,-0.0066,-0.0724,359832.0993,-0.0205,-0.0066,32098,-0.0411,-0.1289,0.727370574,-0.0075,0.0136,0
202110,iowa,ia,219000,-0.0153,0.0046,7285,0.0019,-0.2467,50,0.041666667,-0.180327869,3644,0.0156,0.04,572,0.0593,2.1087,2712,0.0935,0.167,7009,-0.0494,-0.0347,138.9870436,0.0005,0.0715,1542,-0.01,-0.041,276195.2614,-0.0046,0.069,14294,-0.0239,-0.1558,0.962113933,-0.0519,0.2113,0
202110,washington,wa,575000,0,0.1275,8735,-0.057,-0.2895,35,0.060606061,-0.054054054,8368,-0.1682,-0.009,836,0.0718,0.3228,3044,-0.0593,-0.072,14811,-0.0351,-0.0913,296.1456389,-0.0046,0.0935,1959,0.0026,0.0311,779255.9389,-0.0019,0.0652,23546,-0.0433,-0.1766,1.695592444,0.0386,0.3699,0
202110,vermont,vt,350000,-0.0263,0.0769,1386,-0.1183,-0.4502,66,0.118644068,-0.095890411,556,-0.2363,-0.305,24,0,0.2,252,-0.2921,-0.4324,1106,-0.0399,-0.3301,190,-0.0098,0.1528,2013,0.0116,0.004,575139.2052,0.0323,0.1496,2492,-0.0852,-0.4027,0.797979798,0.0652,0.1431,0
202110,kentucky,ky,242500,-0.0261,0.0453,7104,-0.0085,-0.07,38,-0.061728395,-0.269230769,4136,0,0.0562,84,-0.16,-0.3226,2188,-0.0585,0.0092,8623,-0.0391,-0.0519,133.1666667,0.0007,0.1341,1804,-0.0139,-0.0633,332642.8793,-0.0174,0.0091,15727,-0.0255,-0.0602,1.213823198,-0.0387,0.0232,0
202110,north dakota,nd,256900,0.0076,0.0516,1959,-0.0335,-0.2704,66,0.109243697,-0.014925373,640,-0.1061,-0.1534,44,0.8333,0.5714,480,-0.0977,-0.2638,1049,-0.0774,-0.108,123.1920774,0.0011,0.0732,2117,-0.0091,-0.0014,300278.4477,-0.0022,0.0616,3008,-0.0493,-0.2209,0.535477284,-0.0255,0.0975,0
202110,south carolina,sc,325900,0.0014,0.1336,10531,-0.016,-0.3857,44,0.1,-0.301587302,6728,0.0157,-0.0024,1056,0.1786,-0.3053,2720,-0.1123,-0.3417,15088,-0.0267,0.0217,163.7957317,-0.0051,0.0885,1992,0.0114,0.0263,515987.7347,0.0082,0.1385,25619,-0.0223,-0.1972,1.432722439,-0.0158,0.5713,0
202110,tennessee,tn,349900,0.0173,0.0769,11213,0.0011,-0.1856,37,0.042253521,-0.159090909,7868,-0.0479,0.0155,460,0.0455,-0.4651,3668,-0.0793,-0.0327,14059,-0.0201,-0.0277,180.6340718,0.0105,0.1659,2007,0.0035,-0.0443,528924.5793,0.0236,0.1398,25272,-0.0108,-0.1047,1.253812539,-0.0271,0.2036,0
